instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.125,0.125,0.0015625,6.25E-4
1,0.125,0.125,0.00125,9.375E-4
2,0.125,0.125,0.0015625,9.375E-4
3,0.109375,0.125,0.00125,9.375E-4
4,0.125,0.125,0.0015625,6.25E-4
5,0.109375,0.125,0.0015625,6.25E-4
6,0.109375,0.125,0.0015625,6.25E-4
7,0.109375,0.125,0.00125,9.375E-4
8,0.09375,0.125,0.0015625,6.25E-4
9,0.109375,0.125,0.0015625,6.25E-4
10,0.125,0.125,0.00125,9.375E-4
11,0.109375,0.125,0.00125,9.375E-4
12,0.109375,0.125,0.00125,9.375E-4
13,0.125,0.125,0.0015625,6.25E-4
14,0.140625,0.125,0.0015625,6.25E-4
15,0.125,0.125,0.00125,9.375E-4
16,0.125,0.125,0.001875,6.25E-4
17,0.125,0.140625,0.00125,9.375E-4
18,0.125,0.125,0.0015625,9.375E-4
19,0.109375,0.125,0.0015625,6.25E-4
20,0.109375,0.125,0.0015625,6.25E-4
21,0.109375,0.125,0.00125,9.375E-4
22,0.109375,0.125,0.00125,9.375E-4
23,0.109375,0.109375,0.0015625,6.25E-4
24,0.109375,0.125,0.00125,9.375E-4
25,0.109375,0.125,0.0015625,9.375E-4
26,0.109375,0.109375,0.00125,6.25E-4
27,0.109375,0.125,0.00125,9.375E-4
28,0.125,0.125,0.00125,9.375E-4
29,0.109375,0.109375,0.00125,9.375E-4
30,0.109375,0.109375,0.0015625,6.25E-4
31,0.125,0.125,0.00125,9.375E-4
32,0.109375,0.125,0.0015625,6.25E-4
33,0.109375,0.125,0.0015625,9.375E-4
34,0.109375,0.125,0.00125,9.375E-4
35,0.109375,0.125,0.00125,9.375E-4
36,0.09375,0.125,0.0015625,9.375E-4
37,0.109375,0.125,0.00125,9.375E-4
38,0.109375,0.125,0.0015625,6.25E-4
39,0.109375,0.125,0.0015625,9.375E-4
40,0.09375,0.125,0.00125,9.375E-4
41,0.109375,0.125,0.00125,6.25E-4
42,0.109375,0.125,0.0015625,9.375E-4
43,0.140625,0.109375,0.0015625,9.375E-4
44,0.109375,0.125,0.00125,9.375E-4
45,0.09375,0.125,0.0015625,6.25E-4
46,0.109375,0.125,0.00125,9.375E-4
47,0.125,0.125,0.00125,9.375E-4
48,0.09375,0.125,0.0015625,6.25E-4
49,0.109375,0.125,0.0015625,6.25E-4
50,0.109375,0.125,0.0015625,6.25E-4
51,0.109375,0.125,0.0015625,6.25E-4
52,0.109375,0.125,0.00125,9.375E-4
53,0.109375,0.125,0.00125,9.375E-4
54,0.125,0.109375,0.0015625,6.25E-4
55,0.109375,0.125,0.0015625,6.25E-4
56,0.109375,0.125,0.0015625,6.25E-4
57,0.125,0.109375,0.0015625,6.25E-4
58,0.109375,0.125,0.00125,6.25E-4
59,0.109375,0.125,0.00125,9.375E-4
60,0.109375,0.125,0.0015625,6.25E-4
61,0.109375,0.125,0.0015625,6.25E-4
62,0.109375,0.125,0.0015625,6.25E-4
63,0.125,0.125,0.00125,9.375E-4
64,0.125,0.125,0.0015625,9.375E-4
65,0.125,0.109375,0.0015625,9.375E-4
66,0.109375,0.125,0.0015625,9.375E-4
67,0.09375,0.125,0.0015625,6.25E-4
68,0.109375,0.125,0.0015625,9.375E-4
69,0.109375,0.125,0.00125,9.375E-4
70,0.109375,0.125,0.00125,9.375E-4
71,0.109375,0.125,0.00125,9.375E-4
72,0.125,0.125,0.00125,9.375E-4
73,0.109375,0.125,0.00125,9.375E-4
74,0.109375,0.125,0.0015625,9.375E-4
75,0.09375,0.125,0.0015625,6.25E-4
76,0.109375,0.125,0.0015625,6.25E-4
77,0.140625,0.125,0.0015625,9.375E-4
78,0.125,0.125,0.00125,9.375E-4
79,0.109375,0.125,0.00125,9.375E-4
80,0.09375,0.125,0.00125,9.375E-4
81,0.109375,0.125,0.00125,9.375E-4
82,0.109375,0.125,0.0015625,6.25E-4
83,0.125,0.125,0.00125,9.375E-4
84,0.125,0.125,0.00125,9.375E-4
85,0.09375,0.140625,0.00125,9.375E-4
86,0.109375,0.125,0.00125,9.375E-4
87,0.109375,0.125,0.0015625,9.375E-4
88,0.09375,0.125,0.0015625,6.25E-4
89,0.109375,0.125,0.0015625,6.25E-4
90,0.125,0.125,0.00125,9.375E-4
91,0.109375,0.125,0.0015625,9.375E-4
92,0.125,0.125,0.0015625,9.375E-4
93,0.125,0.125,0.00125,9.375E-4
94,0.125,0.125,0.0015625,6.25E-4
95,0.109375,0.125,0.0015625,9.375E-4
96,0.109375,0.125,0.0015625,6.25E-4
97,0.125,0.125,0.00125,9.375E-4
98,0.109375,0.125,0.0015625,6.25E-4
99,0.125,0.125,0.00125,6.25E-4
