instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,524288,183564,156793,78660,52577,52694,6574,150219,2985,75675,15,52562,173696,41,0.220634093
0,RedBlackBST,524288,183564,156793,78660,52577,52694,6574,150219,2507,76153,35,52542,173696,23,0.177306456
1,BST,524288,183569,157154,78614,52619,52332,6550,150604,3007,75607,16,52603,173715,39,0.203511763
1,RedBlackBST,524288,183569,157154,78614,52619,52332,6550,150604,2540,76074,31,52588,173715,24,0.211864502
2,BST,524288,184246,156926,78384,51990,52742,6595,150331,2981,75403,16,51974,174197,43,0.268240825
2,RedBlackBST,524288,184246,156926,78384,51990,52742,6595,150331,2497,75887,42,51948,174197,23,0.207851077
3,BST,524288,183649,157034,78917,52464,52224,6684,150350,2877,76040,16,52448,173806,40,0.207029046
3,RedBlackBST,524288,183649,157034,78917,52464,52224,6684,150350,2434,76483,41,52423,173806,23,0.221989741
4,BST,524288,183248,157239,78674,52707,52420,6498,150741,2890,75784,13,52694,173354,43,0.195733158
4,RedBlackBST,524288,183248,157239,78674,52707,52420,6498,150741,2406,76268,40,52667,173354,23,0.218837829
5,BST,524288,183052,157684,78508,52376,52668,6499,151185,2987,75521,15,52361,173126,42,0.204739971
5,RedBlackBST,524288,183052,157684,78508,52376,52668,6499,151185,2536,75972,35,52341,173126,24,0.205646003
6,BST,524288,183607,157193,78490,52277,52721,6716,150477,3028,75462,15,52262,173682,41,0.217044098
6,RedBlackBST,524288,183607,157193,78490,52277,52721,6716,150477,2545,75945,29,52248,173682,23,0.231602667
7,BST,524288,183451,157283,78725,52597,52232,6714,150569,3009,75716,14,52583,173605,42,0.229471744
7,RedBlackBST,524288,183451,157283,78725,52597,52232,6714,150569,2541,76184,34,52563,173605,24,0.229055939
8,BST,524288,183211,157561,78631,52751,52134,6620,150941,3038,75593,10,52741,173365,42,0.23491957
8,RedBlackBST,524288,183211,157561,78631,52751,52134,6620,150941,2557,76074,33,52718,173365,23,0.176706613
9,BST,524288,183589,157329,78646,52405,52319,6698,150631,2947,75699,16,52389,173720,42,0.231163712
9,RedBlackBST,524288,183589,157329,78646,52405,52319,6698,150631,2485,76161,34,52371,173720,23,0.219893338
10,BST,524288,183678,157314,78547,52399,52350,6631,150683,2998,75549,13,52386,173622,42,0.239125699
10,RedBlackBST,524288,183678,157314,78547,52399,52350,6631,150683,2505,76042,32,52367,173622,24,0.204845535
11,BST,524288,183034,157650,78799,52553,52252,6566,151084,2987,75812,18,52535,173143,43,0.235541898
11,RedBlackBST,524288,183034,157650,78799,52553,52252,6566,151084,2508,76291,41,52512,173143,23,0.187428892
12,BST,524288,183607,157823,77977,52228,52653,6658,151165,2858,75119,8,52220,173650,42,0.227008736
12,RedBlackBST,524288,183607,157823,77977,52228,52653,6658,151165,2397,75580,24,52204,173650,23,0.217095773
13,BST,524288,183073,157250,78523,52524,52918,6676,150574,2972,75551,13,52511,173227,41,0.254106516
13,RedBlackBST,524288,183073,157250,78523,52524,52918,6676,150574,2509,76014,29,52495,173227,24,0.229928273
14,BST,524288,184057,157202,78570,52305,52154,6613,150589,2973,75597,15,52290,174068,40,0.211642062
14,RedBlackBST,524288,184057,157202,78570,52305,52154,6613,150589,2531,76039,37,52268,174068,23,0.216751698
15,BST,524288,183291,157255,78842,52495,52405,6512,150743,2900,75942,16,52479,173483,40,0.221198267
15,RedBlackBST,524288,183291,157255,78842,52495,52405,6512,150743,2470,76372,35,52460,173483,24,0.233497899
16,BST,524288,182828,157668,78759,52497,52536,6694,150974,2938,75821,20,52477,172904,47,0.22349534
16,RedBlackBST,524288,182828,157668,78759,52497,52536,6694,150974,2468,76291,38,52459,172904,24,0.176871711
17,BST,524288,183426,157544,78737,52285,52296,6679,150865,3038,75699,16,52269,173382,41,0.241143477
17,RedBlackBST,524288,183426,157544,78737,52285,52296,6679,150865,2553,76184,36,52249,173382,23,0.208761652
18,BST,524288,183222,156994,78972,52582,52518,6623,150371,2978,75994,20,52562,173244,38,0.204589649
18,RedBlackBST,524288,183222,156994,78972,52582,52518,6623,150371,2532,76440,48,52534,173244,24,0.218553005
19,BST,524288,183481,157230,78562,52316,52699,6397,150833,2900,75662,13,52303,173514,43,0.26371937
19,RedBlackBST,524288,183481,157230,78562,52316,52699,6397,150833,2430,76132,34,52282,173514,23,0.229977251
20,BST,524288,183526,157633,78355,52412,52362,6648,150985,2987,75368,17,52395,173571,40,0.242371836
20,RedBlackBST,524288,183526,157633,78355,52412,52362,6648,150985,2519,75836,41,52371,173571,24,0.248305018
21,BST,524288,183349,157231,78665,52724,52319,6578,150653,2907,75758,8,52716,173276,40,0.230670806
21,RedBlackBST,524288,183349,157231,78665,52724,52319,6578,150653,2448,76217,24,52700,173276,24,0.169718644
22,BST,524288,183860,156891,78645,52309,52583,6588,150303,2946,75699,14,52295,173928,40,0.318956725
22,RedBlackBST,524288,183860,156891,78645,52309,52583,6588,150303,2510,76135,30,52279,173928,23,0.273099194
23,BST,524288,183013,157184,79056,52662,52373,6557,150627,2978,76078,18,52644,173128,40,0.288198442
23,RedBlackBST,524288,183013,157184,79056,52662,52373,6557,150627,2494,76562,34,52628,173128,24,0.253725204
24,BST,524288,183474,156730,79110,52437,52537,6591,150139,3048,76062,16,52421,173428,40,0.214580609
